algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,81,1,100,14,96.27,23762.76,24984.50,5091.51,3510.74,3037.00,3066.98,22964.36,24169.00,5066.75,3.03,1.00,3.85
FCFS,0,1,100,14,97.98,23911.20,26020.00,4479.97,2950.68,2855.00,1747.49,23114.02,25161.00,4474.99,3.03,1.00,4.51
SJF,0,1,100,14,98.01,14475.48,14871.00,8078.88,5077.76,185.00,7762.90,13679.14,14337.00,5985.20,3.03,3.00,1.70
RR,81,2,100,14,94.44,24104.74,25051.00,5325.24,3438.21,3076.50,3038.86,23307.71,24158.00,5291.83,2.94,1.00,3.69
FCFS,0,2,100,14,96.42,24315.32,26427.00,4563.51,2995.93,2876.50,1775.63,23518.79,25573.00,4565.36,3.03,1.00,4.32
SJF,0,2,100,14,96.34,15089.93,15445.00,8215.04,4904.31,186.00,7342.07,14293.91,13749.00,6252.37,3.03,3.00,1.63
RR,81,3,100,14,92.72,24586.31,24762.00,5115.58,3518.69,2942.50,3189.79,23788.62,23996.50,5090.34,2.94,1.00,3.77
FCFS,0,3,100,14,94.90,24753.37,26904.50,4542.39,3037.16,2911.50,1800.91,23956.81,26055.00,4544.86,2.94,1.00,4.39
SJF,0,3,100,14,94.88,15093.93,14946.00,8468.51,4727.35,243.50,7193.44,14296.14,14045.50,6153.91,2.94,3.00,1.37
RR,81,4,100,14,90.81,25624.37,27282.00,5173.16,3659.68,3049.00,3319.46,24825.67,26451.50,5167.44,2.86,1.00,3.92
FCFS,0,4,100,14,93.42,25293.54,27437.50,4671.07,3096.44,2914.50,1832.67,24496.13,26628.00,4675.02,2.94,1.00,4.17
SJF,0,4,100,14,93.25,16113.09,16694.50,8205.37,4655.20,165.50,7398.92,15315.30,14805.50,6408.99,2.94,3.00,1.61
RR,81,5,100,14,89.16,25563.96,25683.00,5458.09,3717.23,3242.50,3197.01,24765.37,24984.50,5434.00,2.78,1.00,3.46
FCFS,0,5,100,14,91.99,25759.63,27886.00,4656.93,3137.74,2954.50,1846.83,24962.03,27061.50,4665.93,2.86,1.00,4.19
SJF,0,5,100,14,91.59,16017.26,15979.00,8520.48,5254.84,147.00,7613.42,15220.34,15206.00,6414.80,2.86,3.00,1.52
