algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,70,3,75,14,91.74,19715.43,20375.00,3397.21,2458.07,1997.00,1879.77,18910.92,19490.00,3382.75,2.88,1.00,4.18
RR,71,3,75,14,91.53,19715.36,20167.00,3135.94,2453.00,2022.00,1891.36,18910.35,19495.00,3107.18,2.88,1.00,4.15
RR,72,3,75,14,91.74,19637.47,20125.00,3073.05,2490.13,2083.00,1910.43,18834.32,19386.00,3035.04,2.88,1.00,4.01
RR,73,3,75,14,91.85,19900.63,20488.00,3206.24,2427.99,2059.00,1944.28,19096.61,19777.00,3187.12,2.88,0.50,4.52
RR,74,3,75,14,91.81,19864.85,20311.00,3348.95,2507.75,2048.00,1980.70,19061.47,19592.00,3334.25,2.88,1.00,4.49
RR,75,3,75,14,92.43,18639.31,19241.00,3708.69,2608.52,2144.00,2169.79,17837.11,18418.00,3679.67,2.88,1.00,3.51
RR,76,3,75,14,92.48,18654.72,18774.00,3794.78,2397.52,2116.00,1856.88,17851.64,17992.00,3759.92,2.88,1.50,3.58
RR,77,3,75,14,92.40,18987.16,20179.00,3866.90,2507.73,2112.00,2009.32,18183.01,19244.00,3858.08,2.88,1.00,3.92
RR,78,3,75,14,92.55,18919.00,19251.00,3780.89,2412.35,2110.00,1866.66,18117.20,18467.00,3762.78,2.88,1.00,3.79
RR,79,3,75,14,92.35,18885.59,19029.00,3904.76,2422.29,2140.00,1872.85,18081.97,18226.00,3871.94,2.88,1.00,3.85
RR,80,3,75,14,92.40,18749.01,19364.00,3968.43,2544.01,2133.00,2030.43,17945.77,18507.00,3945.98,2.88,1.00,3.64
RR,81,3,75,14,92.59,18793.71,19247.00,3704.33,2533.13,2124.00,2036.77,17991.61,18372.00,3703.36,2.88,1.00,3.84
RR,82,3,75,14,92.37,18878.83,18838.00,3433.28,2480.44,2145.00,1977.42,18076.32,18066.00,3412.29,2.88,1.00,3.79
RR,83,3,75,14,92.30,19135.53,19619.00,3542.49,2534.07,2171.00,2005.11,18331.35,18881.00,3531.30,2.88,1.00,3.97
RR,84,3,75,14,92.45,19240.40,19763.00,3722.24,2443.21,2166.00,1891.37,18437.88,19002.00,3709.22,2.88,1.00,3.97
RR,85,3,75,14,92.63,18953.43,19069.00,3771.35,2496.45,2134.00,2031.81,18151.32,18270.00,3751.48,2.88,1.00,4.13
RR,86,3,75,14,92.50,18903.05,18849.00,3619.26,2524.01,2189.00,2080.90,18099.69,18155.00,3596.77,2.88,1.00,3.70
RR,87,3,75,14,92.52,19062.44,20337.00,3735.80,2620.31,2171.00,2206.82,18260.36,19344.00,3721.47,2.88,1.00,3.96
RR,88,3,75,14,92.45,18769.64,18880.00,3913.13,2530.65,2175.00,1971.21,17967.49,18115.00,3884.89,2.88,1.00,3.63
RR,89,3,75,14,92.60,18770.01,19943.00,3814.42,2705.23,2194.00,2278.14,17967.85,19164.00,3806.06,2.88,1.50,3.69
RR,90,3,75,14,92.40,18784.51,18906.00,3947.30,2651.53,2204.00,2259.71,17982.15,18193.00,3931.38,2.88,1.00,3.78
RR,91,3,75,14,92.53,18858.73,18955.00,3834.45,2727.61,2227.00,2289.69,18056.89,18244.00,3812.98,2.88,1.00,3.82
RR,92,3,75,14,92.40,18784.17,18923.00,3956.69,2698.48,2220.00,2278.69,17981.24,18082.00,3934.45,2.88,1.00,3.81
RR,93,3,75,14,92.38,18914.53,19005.00,3998.24,2662.64,2213.00,2274.96,18110.31,18292.00,3980.82,2.88,1.00,3.77
RR,94,3,75,14,92.49,18873.16,19987.00,3829.16,2760.80,2259.00,2328.76,18070.65,19144.00,3811.24,2.88,1.50,3.68
RR,95,3,75,14,92.58,18805.00,18875.00,3948.86,2672.39,2228.00,2276.29,18003.29,18164.00,3934.88,2.88,1.00,3.88
RR,96,3,75,14,92.56,18874.57,18972.00,3662.80,2566.63,2231.00,2106.00,18072.80,18255.00,3646.83,2.88,1.00,3.85
RR,97,3,75,14,92.53,18976.91,18982.00,4047.12,2742.39,2242.00,2369.61,18174.43,18305.00,4030.59,2.88,1.00,3.89
RR,98,3,75,14,92.55,19042.87,20518.00,4042.24,2686.11,2256.00,2294.63,18241.09,19686.00,4030.68,2.88,1.00,4.22
RR,99,3,75,14,92.51,19148.85,19359.00,4080.11,2697.01,2254.00,2311.43,18347.37,18605.00,4066.38,2.88,1.00,4.13
RR,100,3,75,14,92.75,18886.25,19856.00,3161.54,2303.51,2240.00,1457.70,18086.13,19051.00,3173.52,2.88,1.00,4.31
RR,30,3,75,25,86.17,20035.47,21255.00,4623.37,3393.84,1999.00,3563.16,19262.57,20443.00,4562.16,2.59,1.00,3.20
RR,31,3,75,25,86.31,20726.37,21452.00,4196.41,3609.76,2022.00,3849.38,19954.48,20719.00,4121.84,2.68,1.00,3.50
RR,32,3,75,25,86.12,20805.11,21869.00,4243.21,3602.00,2099.00,3684.82,20031.17,21013.00,4175.42,2.59,1.00,3.41
RR,33,3,75,25,86.60,20496.63,20879.00,4410.44,3285.71,1860.00,3570.51,19723.88,20100.00,4341.83,2.68,1.00,3.57
RR,34,3,75,25,87.00,19683.24,21036.00,4484.91,3698.24,2178.00,3498.27,18912.28,20233.00,4422.69,2.68,2.00,2.98
RR,35,3,75,25,87.74,20052.45,20388.00,4136.33,3134.25,1972.00,3145.91,19281.53,19683.00,4076.66,2.68,1.50,3.10
RR,36,3,75,25,87.42,20173.77,21237.00,4493.90,3034.25,2185.00,2750.00,19401.23,20572.00,4457.69,2.68,1.00,3.23
RR,37,3,75,25,87.51,20087.60,21247.00,4039.48,3465.23,2207.00,3348.66,19317.04,20475.00,3983.56,2.68,1.00,3.24
RR,38,3,75,25,88.39,19254.84,20168.00,4215.92,3488.39,2214.00,3786.91,18485.24,19436.00,4162.76,2.68,2.00,3.17
RR,39,3,75,25,88.44,19456.43,20502.00,4391.45,3691.81,2317.00,3844.32,18686.67,19699.00,4331.87,2.68,1.00,3.16
RR,40,3,75,25,89.25,19473.68,20051.00,4470.55,3290.59,2203.00,3261.62,18706.57,19399.00,4420.01,2.78,1.00,3.62
RR,41,3,75,25,88.82,19776.81,20468.00,4398.07,3019.69,2230.00,2814.39,19007.96,19618.00,4344.71,2.78,1.00,3.82
RR,42,3,75,25,88.97,19505.17,20142.00,4672.24,3213.80,2348.00,3059.71,18735.56,19397.00,4608.28,2.78,1.00,3.59
RR,43,3,75,25,88.86,20170.21,20641.00,4029.23,2851.45,2120.00,2477.85,19396.00,19875.00,3988.28,2.68,1.00,3.61
RR,44,3,75,25,88.95,19476.41,21118.00,4616.95,3411.59,2371.00,3330.43,18706.76,20316.00,4564.38,2.78,1.00,3.78
RR,45,3,75,25,89.05,19127.91,19928.00,4592.85,3348.92,2408.00,3255.98,18359.65,19252.00,4529.68,2.78,1.00,3.36
RR,46,3,75,25,88.94,19848.41,21200.00,3910.40,3049.09,2210.00,2686.10,19078.53,20343.00,3847.43,2.78,1.00,3.85
RR,47,3,75,25,89.03,19765.16,20867.00,4750.33,3045.11,2267.00,2767.09,18995.77,19937.00,4685.19,2.78,1.00,3.96
RR,48,3,75,25,89.00,19618.41,21268.00,4581.16,3187.63,2186.00,3012.09,18850.16,20353.00,4520.83,2.78,1.00,3.62
RR,49,3,75,25,89.01,19451.17,21173.00,4568.09,3245.88,2204.00,3081.27,18682.05,20400.00,4488.48,2.78,2.00,3.61
RR,50,3,75,25,89.98,19620.27,21199.00,4239.23,2845.09,2285.00,2439.52,18851.72,20490.00,4211.62,2.78,1.00,3.66
RR,51,3,75,25,90.01,19642.75,19904.00,3417.34,2780.55,2160.00,2576.41,18875.13,19192.00,3377.20,2.78,1.00,3.69
RR,52,3,75,25,90.20,19293.00,19644.00,4075.34,2761.69,2250.00,2411.96,18527.36,18983.00,4031.53,2.78,1.00,3.79
RR,53,3,75,25,90.00,19567.32,19926.00,3880.82,2832.12,2222.00,2562.39,18800.64,19324.00,3850.49,2.78,1.00,3.73
RR,54,3,75,25,89.99,19529.75,20872.00,4139.00,3058.97,2378.00,2833.52,18760.16,20140.00,4082.77,2.78,1.00,3.45
RR,55,3,75,25,90.13,19323.56,20628.00,4355.62,2775.87,2315.00,2406.35,18556.71,19918.00,4305.15,2.78,1.00,3.51
RR,56,3,75,25,90.08,20048.44,21001.00,3825.21,2786.17,2229.00,2401.21,19281.91,20176.00,3786.98,2.78,1.00,3.88
RR,57,3,75,25,90.07,19988.19,21191.00,3515.45,2851.93,2278.00,2342.53,19221.27,20310.00,3464.14,2.78,1.00,3.82
RR,58,3,75,25,90.16,19543.71,20103.00,4082.48,2968.71,2420.00,2377.23,18777.87,19325.00,4017.47,2.78,1.00,3.58
RR,59,3,75,25,90.19,19674.19,20840.00,3929.48,3106.23,2429.00,2659.76,18908.35,20039.00,3878.60,2.78,1.00,3.89
RR,60,3,75,25,90.44,19312.51,19977.00,4070.17,3344.53,2494.00,2973.14,18546.39,19238.00,4039.01,2.78,1.00,3.53
RR,61,3,75,25,90.23,19583.43,20112.00,3649.27,3444.15,2486.00,3166.64,18816.19,19357.00,3612.60,2.78,0.00,3.42
RR,62,3,75,25,90.46,19314.79,19997.00,3980.52,3562.13,2535.00,3145.12,18549.00,19238.00,3930.09,2.78,2.00,3.78
RR,63,3,75,25,90.31,19612.45,20210.00,4013.10,3345.15,2543.00,2969.58,18845.97,19428.00,3965.03,2.78,1.00,3.63
RR,64,3,75,25,90.35,19467.87,20284.00,4056.69,3384.21,2559.00,3148.81,18700.85,19514.00,4011.73,2.78,1.00,3.71
RR,65,3,75,25,90.64,18893.45,20232.00,4473.38,3469.07,2589.00,3274.10,18126.15,19421.00,4411.06,2.78,1.00,3.46
RR,66,3,75,25,90.77,19361.91,20411.00,3924.03,3132.11,2274.00,3044.62,18597.13,19573.00,3877.64,2.78,1.00,3.95
RR,67,3,75,25,91.31,19025.83,20810.00,4477.40,2972.61,2474.00,2457.19,18260.68,20079.00,4428.19,2.88,1.00,4.00
RR,68,3,75,25,91.23,18898.59,20672.00,4522.17,3207.75,2619.00,2660.90,18134.01,19934.00,4465.35,2.88,2.00,3.81
RR,69,3,75,25,91.08,19475.81,20947.00,4112.35,2970.16,2489.00,2414.49,18710.68,20146.00,4076.07,2.88,1.00,4.42
RR,70,3,75,25,91.60,18776.01,19711.00,4114.62,2919.23,2331.00,2599.67,18011.29,18888.00,4073.22,2.88,1.50,3.90
RR,71,3,75,25,91.47,18967.56,19671.00,3781.24,2992.80,2437.00,2474.05,18204.41,18898.00,3747.48,2.88,1.00,3.79
