algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
SJF,0,3,75,69,94.56,11117.23,11736.00,5945.20,4304.37,359.00,5665.73,10374.24,10341.00,4212.23,3.13,3.50,1.51
RR,80,3,75,70,92.34,19005.01,19761.00,3777.52,2540.52,2295.00,2003.21,18237.84,19077.00,3773.87,2.88,1.00,4.33
FCFS,0,3,75,70,94.83,18787.43,20476.00,3399.75,2294.53,2488.00,1349.59,18020.32,19664.00,3391.52,3.00,1.00,4.80
SJF,0,3,75,70,94.23,11704.92,12308.00,6592.48,4401.68,169.00,6371.95,10939.36,11580.00,4636.21,3.00,3.00,1.55
RR,80,3,5,14,90.96,1593.40,1607.00,105.26,92.40,86.00,55.81,734.60,798.00,119.17,2.50,2.50,3.54
FCFS,0,3,5,14,92.65,1629.60,1666.00,118.20,90.00,85.00,53.62,773.20,767.00,152.13,2.50,2.50,3.54
SJF,0,3,5,14,83.78,1405.00,1308.00,426.61,90.40,85.00,54.72,547.20,595.00,196.49,1.67,1.00,2.08
RR,80,3,5,25,89.67,1265.80,1315.00,175.25,77.60,79.00,15.34,523.00,550.00,92.82,2.50,2.50,3.54
FCFS,0,3,5,25,90.65,1300.40,1289.00,128.84,83.40,82.00,15.47,560.60,532.00,78.70,2.50,2.50,3.54
SJF,0,3,5,25,91.45,1144.40,1168.00,137.56,68.20,76.00,24.00,407.40,414.00,171.99,2.50,2.50,3.54
RR,80,3,5,36,92.04,1803.60,1745.00,204.55,103.60,119.00,46.91,971.40,922.00,192.12,1.67,2.00,1.53
FCFS,0,3,5,36,93.81,1785.40,1786.00,77.92,107.20,124.00,48.28,957.00,965.00,86.21,1.67,1.00,2.08
SJF,0,3,5,36,87.97,1435.40,1386.00,453.16,108.60,90.00,89.22,610.80,723.00,314.97,1.67,1.00,2.08
RR,80,3,5,47,85.42,1676.40,1674.00,214.28,156.60,134.00,112.10,880.80,861.00,65.17,1.67,1.00,2.08
FCFS,0,3,5,47,93.10,1588.20,1559.00,143.62,119.80,138.00,44.12,803.00,776.00,95.63,2.50,2.50,3.54
SJF,0,3,5,47,93.46,1446.20,1373.00,289.96,104.40,79.00,55.59,659.40,713.00,120.34,2.50,2.50,3.54
RR,80,3,5,58,90.98,1795.60,1745.00,114.75,240.20,151.00,264.00,963.00,928.00,121.33,1.67,2.00,1.53
FCFS,0,3,5,58,93.75,1675.20,1656.00,172.26,192.00,252.00,95.45,848.80,835.00,52.72,1.67,1.00,2.08
SJF,0,3,5,58,80.75,1435.00,1367.00,448.28,204.40,248.00,110.92,611.00,703.00,295.88,1.67,1.00,2.08
RR,80,3,5,69,87.50,1337.40,1333.00,170.64,63.60,60.00,16.44,608.80,609.00,109.42,2.50,2.50,3.54
FCFS,0,3,5,69,88.60,1344.80,1354.00,167.41,63.00,61.00,17.26,619.40,651.00,123.82,2.50,2.50,3.54
SJF,0,3,5,69,91.11,1210.20,1334.00,273.15,63.60,63.00,17.64,489.60,498.00,87.40,2.50,2.50,2.12
RR,80,3,5,70,84.41,1494.60,1513.00,170.63,62.80,59.00,22.75,652.20,704.00,115.42,2.50,2.50,3.54
FCFS,0,3,5,70,91.68,1504.40,1504.00,66.67,62.40,60.00,22.43,667.20,681.00,105.98,2.50,2.50,3.54
SJF,0,3,5,70,90.93,1465.20,1469.00,210.40,74.60,74.00,25.70,624.20,602.00,120.66,2.50,2.50,3.54
RR,80,3,10,14,90.35,2832.80,2869.00,400.40,271.20,226.50,211.84,1976.90,2001.50,321.20,2.50,1.50,3.32
FCFS,0,3,10,14,92.47,2905.40,3046.00,266.60,275.30,217.50,208.18,2048.00,2117.00,200.08,2.50,1.50,3.32
SJF,0,3,10,14,90.52,2198.10,2442.00,819.26,428.90,133.50,540.64,1344.60,1395.00,390.74,2.50,3.00,1.73
RR,80,3,10,25,88.67,2431.90,2378.00,391.55,148.00,126.00,78.85,1660.40,1540.00,304.34,2.50,1.50,3.32
FCFS,0,3,10,25,93.38,2552.50,2573.00,223.15,145.30,125.00,76.87,1780.70,1863.00,199.84,2.50,2.00,3.00
SJF,0,3,10,25,90.02,1957.70,2025.50,683.21,241.70,71.00,379.58,1189.20,1157.00,420.83,2.50,2.50,2.38
